rank,Athlete,NationID,G,S,B
126,Norris Bowden,CAN,0,1,0
126,Regine Heitzer,AUT,0,1,0
126,Michael Kennedy,USA,0,1,0
126,Svea Noren,SWE,0,1,0
126,Timothy Wood,USA,0,1,0
126,Andreas Krogh,NOR,0,1,0
126,Vladimir Kovalev,URS,0,1,0
126,Richard Johansson,SWE,0,1,0
126,Sergei Chetveroukhin,URS,0,1,0
126,Rolf Österreich,GDR,0,1,0
126,Karen Magnussen,CAN,0,1,0
126,Marina Cherkosova,URS,0,1,0
126,Anyelika Krylova,RUS,0,1,0
126,Andrea Kekessy,HUN,0,1,0
126,Krisztina Regoczy,HUN,0,1,0
126,Erik Pausin,AUT,0,1,0
126,Yngvar Bryn,NOR,0,1,0
126,Mao Asada,JPN,0,1,0
126,Irina Lobacheva,RUS,0,1,0
126,Alexia Bryn,NOR,0,1,0
126,Paul Wylie,USA,0,1,0
126,Pang Qing,CHN,0,1,0
126,Yelena Bechke,EUN,0,1,0
126,Isabelle Duchesnay-Dean,FRA,0,1,0
126,Zhang Hao,CHN,0,1,0
126,Elizabeth Manley,CAN,0,1,0
126,Meagan Duhamel,CAN,0,1,0
126,Oleg Vassiliev,URS,0,1,0
126,Benjamin Agosto,USA,0,1,0
126,Sasha Cohen,USA,0,1,0
126,Stephane Lambiel,SUI,0,1,0
126,Kirsten Moore-Towers,CAN,0,1,0
126,Kaetlyn Osmond,CAN,0,1,0
126,Peter Carruthers,USA,0,1,0
126,Linda Fratianne,USA,0,1,0
126,Andrei Suraikin,URS,0,1,0
126,Eva Pawlik,AUT,0,1,0
126,Aleksandr Gorelik,URS,0,1,0
126,Cecilia Colledge,GBR,0,1,0
126,Lilly Scholz,AUT,0,1,0
126,Alain Calmat,FRA,0,1,0
126,Frances Dafoe,CAN,0,1,0
126,Karol Divin,TCH,0,1,0
126,Karol Kennedy,USA,0,1,0
126,Ronnie Robertson,USA,0,1,0
126,Gabriele Seyfert,GDR,0,1,0
126,Elsa Rendschmidt,GER,0,1,0
126,Dianne de Leeuw,NED,0,1,0
126,Arthur Cumming,GBR,0,1,0
126,Romy Kermer,GDR,0,1,0
126,Helmut Seibt,AUT,0,1,0
201,Lloyd Eisler,CAN,0,0,2
201,Emilia Rotter,HUN,0,0,2
201,Aliona Savchenko,GER,0,0,2
201,Chen Lu,CHN,0,0,2
201,Laszlo Nagy,HUN,0,0,2
201,Uwe Kagelmann,GDR,0,0,2
201,Philippe Candeloro,FRA,0,0,2
201,Isabelle Brasseur,CAN,0,0,2
201,Laszlo Szollas,HUN,0,0,2
201,Robin Szolkowy,GER,0,0,2
201,Marianna Nagy,HUN,0,0,2
201,Patrick Pera,FRA,0,0,2
201,Manuela Gross,GDR,0,0,2
214,Dagmar Lurz,FRG,0,0,1
214,Ingo Steuer,GER,0,0,1
214,Uwe Bewersdorff,GDR,0,0,1
214,Wallace Diestelmeyer,USA,0,0,1
214,Joannie Rochette,CAN,0,0,1
